Date,ALPA4.SA,AMAR3.SA,ASAI3.SA,BBDC3.SA,BRDT3.SA,BRKM5.SA,BRML3.SA,COGN3.SA,CRFB3.SA,CSMG3.SA,ECOR3.SA,EGIE3.SA,ELET6.SA,ENBR3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GNDI3.SA,HAPV3.SA,JBSS3.SA,JHSF3.SA,LAME4.SA,LCAM3.SA,MGLU3.SA,RAIL3.SA,SAPR11.SA,SUZB3.SA,TAEE11.SA,TRPL4.SA
2010-02-22,2.809077501296997,11.75471019744873,,5.833929061889648,,8.633820533752441,6.210492134094238,,,4.726534843444824,,8.014915466308594,,6.142283916473389,6.341737270355225,2.7796311378479004,3.8312106132507324,6.7904133796691895,,,7.922285556793213,2.446575164794922,6.3699846267700195,,,,,,4.34155797958374,5.774982452392578
2010-02-23,2.809077501296997,11.503722190856934,,5.717930316925049,,8.396839141845703,6.158372402191162,,,4.661660671234131,,7.98787784576416,,6.04555606842041,6.3592071533203125,2.7716665267944336,3.7550342082977295,6.639056205749512,,,7.83845329284668,2.4247961044311523,6.336758613586426,,,,,,4.336976051330566,5.743572235107422
2010-02-24,2.788706064224243,11.871840476989746,,5.683816909790039,,8.262334823608398,6.089793682098389,,,4.596786975860596,,7.976290225982666,12.25088119506836,6.0282816886901855,6.3592071533203125,2.768480062484741,3.808805465698242,6.759454250335693,,,7.955819129943848,2.5046544075012207,6.12790584564209,,,,,,4.340412616729736,5.756860733032227
2010-02-25,2.731881618499756,11.96387004852295,,5.681538105010986,,8.23030948638916,6.224207401275635,,,4.578251838684082,,8.014915466308594,12.614511489868164,6.088738918304443,6.464028358459473,2.7716665267944336,3.7057437896728516,6.621856689453125,,,7.888753414154053,2.4247961044311523,6.123159408569336,,,,,,4.340412616729736,5.761693477630615
2010-02-26,2.7790565490722656,11.96387004852295,,5.81345796585083,,8.18547534942627,6.446402549743652,,,4.6894636154174805,,7.999467372894287,12.419709205627441,6.088738918304443,6.38832426071167,2.7987465858459473,3.7281486988067627,6.876413345336914,,,7.612100601196289,2.432055711746216,6.170626640319824,,,,,,4.326663017272949,5.853513717651367
2010-03-01,2.8390979766845703,12.290156364440918,,5.820285320281982,,8.153450965881348,6.364108562469482,,,4.578251838684082,,7.899037837982178,12.79632568359375,6.097375869750977,6.347560882568359,2.819453716278076,3.808805465698242,6.614977836608887,,,7.712701320648193,2.432055711746216,6.3557448387146,,,,,,4.3438496589660645,5.861971378326416
2010-03-02,2.783346176147461,12.43238639831543,,5.871077537536621,,8.243122100830078,6.364108562469482,,,4.670929431915283,,7.837234020233154,13.095022201538086,6.130194664001465,6.318443775177002,2.819453716278076,3.808805465698242,6.518660068511963,,,7.704317092895508,2.3812365531921387,6.407958507537842,,,,,,4.342703342437744,5.913922309875488
2010-03-03,2.7876346111297607,12.055899620056152,,5.868802070617676,,8.236716270446777,6.268097877502441,,,4.6894636154174805,,7.918348789215088,12.640484809875488,6.088738918304443,6.347560882568359,2.816267251968384,3.808805465698242,6.535860538482666,,,7.88037109375,2.395756483078003,6.275052547454834,,,,,,4.34155797958374,5.919962406158447
2010-03-04,2.809077501296997,12.298523902893066,,5.882458686828613,,8.262334823608398,6.117224216461182,,,4.670929431915283,,7.953114032745361,12.999786376953125,6.04555606842041,6.347560882568359,2.7875959873199463,3.7774388790130615,6.535860538482666,,,8.039654731750488,2.3667171001434326,6.327266216278076,,,,,,4.34155797958374,5.85955286026001
2010-03-05,2.7876346111297607,12.424020767211914,,5.905211448669434,,8.236716270446777,5.993784427642822,,,4.707998752593994,,7.933801174163818,13.207573890686035,6.023099899291992,6.289325714111328,2.7875959873199463,3.763995885848999,6.621856689453125,,,7.955819129943848,2.3884966373443604,6.298785209655762,,,,,,4.336976051330566,5.9018402099609375
2010-03-08,2.7661917209625244,12.708474159240723,,5.85969877243042,,8.102212905883789,6.062362194061279,,,4.670929431915283,,7.810197830200195,13.164284706115723,6.0282816886901855,6.289325714111328,2.7557373046875,3.781919240951538,6.604658126831055,,,8.106719970703125,2.3521974086761475,6.284544467926025,,,,,,4.346142292022705,5.829349040985107
2010-03-09,2.727592945098877,12.80887222290039,,5.902937412261963,,8.102212905883789,6.237924575805664,,,4.7246809005737305,,7.90676212310791,13.63614273071289,6.04555606842041,6.405795574188232,2.7557373046875,3.763995885848999,6.553058624267578,,,8.05642032623291,2.3812365531921387,6.289291858673096,,,,,,4.353017807006836,6.012990474700928
2010-03-10,2.7447476387023926,12.892534255981445,,5.916591167449951,,8.236716270446777,6.270841121673584,,,4.707998752593994,,7.976290225982666,13.809296607971191,6.088738918304443,6.405795574188232,2.7318437099456787,3.790881872177124,6.518660068511963,,,7.788153171539307,2.4175360202789307,6.3794779777526855,,,,,,4.35416316986084,5.932042598724365
2010-03-11,2.749037504196167,12.633177757263184,,5.900663375854492,,8.518531799316406,6.350391864776611,,,4.698731422424316,,8.011054992675781,13.614497184753418,5.983373641967773,6.312620162963867,2.7318437099456787,3.7505528926849365,6.535860538482666,,,7.654018878936768,2.4175360202789307,6.464917182922363,,,,,,4.35416316986084,5.858344554901123
2010-03-12,2.7018606662750244,12.691742897033691,,5.891560077667236,,8.454483985900879,6.3778228759765625,,,4.593080043792725,,7.9260759353637695,13.363415718078613,5.976463317871094,6.213621616363525,2.684056043624878,3.746073007583618,6.535860538482666,,,7.352217674255371,2.3812365531921387,6.57409143447876,,,,,,4.363329887390137,5.732699394226074
